ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
406,982,0,15,2,1,2,2,2,,0,0,0,,,
407,982,1,15,0,0,2,2,2,,0,0,0,,,
408,986,2,17,1,1,2,2,2,,1,1,1,,,
409,986,2,17,9,1,2,2,2,,1,1,1,,,
410,986,0,14,-1,0,0,0,0,,1,1,1,,,
411,991,0,12,-5,0,0,0,0,,1,1,1,,,
412,997,0,14,0,0,2,2,2,,0,0,0,,,
413,997,2,16,1,0,2,2,2,,1,1,1,,,
414,1003,0,12,-1,0,0,0,0,,1,1,1,,,
415,1003,2,15,0,0,2,2,2,,1,1,1,,,
416,1018,0,15,3,1,2,2,2,,0,0,0,,,
417,1018,2,14,4,1,2,2,2,,1,1,1,,,
418,1018,2,11,2,1,0,0,0,,0,0,0,,,
419,1018,0,16,-2,0,0,0,0,,1,1,1,,,
420,1018,0,14,-4,0,0,0,0,,1,1,1,,,
421,1019,1,16,0,1,2,2,2,,0,0,0,,,
422,1019,2,16,1,1,2,2,2,,1,1,1,,,
423,1023,2,15,0,0,2,2,2,,1,1,1,,,
424,1023,0,16,3,0,2,2,2,,0,0,0,,,
425,1023,2,16,3,0,2,2,2,,1,1,1,,,
426,1023,0,16,0,0,2,2,2,,0,0,0,,,
427,1023,0,15,0,0,2,2,2,,0,0,0,,,
428,1024,2,14,2,1,2,2,2,,1,1,1,,,
429,1024,0,14,0,1,0,0,0,,1,1,1,,,
430,1024,0,14,1,1,2,2,2,,0,0,0,,,
431,1027,0,16,-1,0,2,2,2,,0,0,0,,,
432,1027,1,13,2,0,2,2,2,,0,0,0,,,
433,1031,2,16,1,1,2,2,2,,1,1,1,,,
434,1031,2,16,1,0,2,2,2,,1,1,1,,,
435,1032,2,16,0,0,2,2,2,,1,1,1,,,
436,1034,1,13,-2,1,0,0,0,,0,0,0,,,
437,1034,0,13,0,1,0,0,0,,1,1,1,,,
438,1034,2,12,0,1,0,0,0,,0,0,0,,,
