ID,SubVehID,Choice,Gap,RelativeSpeed,TW
643,1451,3,14.348,-0.198,0
644,1451,3,14.0335,2.934,0
645,1451,3,12.3675,1.494,0
646,1451,3,12.8605,1.998,0
647,1465,3,17.068,2.403,0
648,1465,1,15.9375,-0.189,0
649,1470,1,16.4135,3.834,1
650,1470,3,18.411,6.732,1
651,1470,3,16.6345,7.362,1
652,1476,2,14.756,-0.486,1
653,1476,1,14.025,-0.954,1
654,1476,1,14.008,-1.053,1
655,1476,1,13.991,-0.792,1
656,1476,3,12.2995,-1.899,1
657,1476,3,19.6265,2.925,1
658,1476,1,16.5155,6.435,1
659,1478,3,17.255,0.135,1
660,1478,1,16.7705,0.792,1
661,1478,3,16.456,0.198,1
662,1478,1,15.1895,-1.629,1
663,1478,3,19.584,2.232,1
664,1482,1,14.722,-1.674,1
665,1483,3,15.504,0.819,0
666,1484,3,18.292,1.314,0
667,1489,3,16.3455,0.945,1
668,1489,3,14.6115,0.594,1
669,1489,1,14.841,-0.234,1
670,1492,3,15.4445,0.972,0
671,1492,3,16.0055,0.855,0
672,1499,2,15.2405,2.97,1
673,1510,2,15.9035,-7.407,1
674,1510,2,17.918,1.413,0
675,1510,1,16.3115,-1.512,0
676,1510,1,16.7705,-0.585,0
677,1513,3,16.6855,1.035,0
678,1513,1,15.64,-0.711,0
679,1513,2,14.348,-0.99,0
680,1514,3,16.167,1.305,0
681,1514,3,18.8955,4.815,0
682,1518,3,14.9005,-0.918,0
683,1521,1,17.5525,-1.881,1
684,1521,3,16.694,2.583,1
685,1526,2,14.6795,-4.905,0
686,1526,1,15.6315,-1.449,0
687,1526,2,16.2265,-0.918,0
688,1529,3,16.711,0.612,1
689,1529,3,18.5045,5.202,1
690,1535,1,13.5065,-2.511,0
691,1535,1,13.719,-1.881,0
692,1535,1,14.875,-0.135,0
693,1536,3,17.5865,3.123,1
694,1536,3,17.306,3.069,1
695,1536,3,16.8045,1.458,1
696,1537,2,15.1215,0.432,0
697,1551,3,17.2975,6.759,1
698,1559,1,15.7335,-3.501,1
699,1561,1,14.501,-0.558,0
700,1561,2,15.5125,0.486,0
701,1561,3,15.674,0.864,0
702,1561,1,14.076,-0.612,0
703,1596,3,16.5155,0.234,0
704,1596,1,16.6855,0,0
705,1597,3,17.697,3.438,1
706,1598,3,17.782,1.053,0
707,1603,3,18.1135,1.557,0
708,1603,3,17.323,0.891,0
709,1603,3,18.479,1.791,0
710,1604,1,17.289,-1.017,0
711,1604,1,16.1415,-1.656,0
712,1604,2,17.7735,0.639,0
713,1605,3,19.4055,4.302,1
714,1605,1,17.68,-0.675,0
715,1605,3,17.6375,0.252,0
716,1610,3,18.751,-0.459,1
717,1610,3,17.833,1.674,1
718,1610,3,18.479,0.981,1
719,1610,3,18.496,0.684,1
720,1612,1,16.0905,-1.08,0
721,1612,3,17.2295,0.837,0
722,1612,3,18.717,1.215,0
723,1612,3,17.561,0.405,0
724,1612,3,16.575,0.351,0
725,1617,1,16.8045,-0.81,0
726,1618,1,16.6685,-0.792,0
727,1618,1,16.167,-1.278,0
728,1618,3,16.3455,-1.062,0
729,1620,2,18.2665,-0.54,0
730,1624,1,19.958,3.24,0
731,1633,3,18.7935,2.394,1
732,1633,3,18.0965,2.736,1
733,1633,3,17.986,1.197,0
734,1634,1,19.295,-2.007,1
735,1634,3,16.847,0.315,1
736,1634,3,17.1785,0.855,1
737,1634,1,17.8585,-0.459,0
738,1635,3,17.7225,-0.279,0
739,1635,1,18.1305,-0.099,0
740,1636,2,15.3595,0.513,1
741,1636,1,15.3085,-0.54,1
742,1636,3,17.9945,-0.846,0
743,1636,3,18.9465,0.792,0
744,1639,1,17.102,-0.873,0
745,1640,3,17.6885,0.765,0
746,1641,1,14.9685,-4.77,1
747,1641,1,14.433,-2.538,1
748,1642,3,18.4365,1.917,0
749,1642,3,18.3515,3.159,0
750,1643,1,17.7055,-0.999,0
751,1643,2,17.2465,-1.53,0
752,1644,3,18.19,1.458,0
753,1644,3,16.4305,0.153,0
754,1645,3,18.0115,2.916,0
755,1645,1,16.388,-0.63,0
756,1645,3,17.493,-0.765,0
757,1646,3,18.2665,0.225,0
758,1646,3,15.419,-2.07,0
759,1646,1,16.014,-0.999,0
760,1646,1,16.286,-2.322,0
761,1652,1,13.481,-3.546,0
762,1652,1,13.1325,-2.169,0
763,1653,1,14.3225,-1.314,0
764,1659,3,13.787,-0.684,0
765,1659,3,16.0565,1.935,0
766,1659,3,15.079,1.071,0
767,1661,3,15.1725,1.719,0
768,1664,3,15.759,3.024,1
769,1664,3,16.32,4.491,1
770,1664,1,13.5745,-2.106,0
771,1669,3,16.4305,0.801,1
772,1669,1,15.98,0.792,1
773,1669,3,16.473,0.756,1
774,1669,3,16.0055,1.899,1
775,1669,3,16.2775,1.881,1
776,1669,1,15.793,-0.009,1
777,1672,3,15.0025,1.215,0
778,1675,3,16.048,1.413,0
779,1675,3,15.487,2.079,0
780,1679,3,16.9065,1.665,0
781,1681,3,17.3995,-0.009,0
782,1681,3,17.204,0.981,0
783,1681,3,17.7735,1.431,0
784,1681,2,16.796,0.576,0
785,1681,3,17.8925,1.701,0
786,1684,3,17.221,0.153,0
787,1686,1,15.742,-1.26,1
788,1686,1,15.64,-0.234,1
789,1686,1,13.7785,-0.315,1
790,1693,3,17.68,1.683,1
791,1693,3,18.0625,3.492,1
792,1693,2,17.0765,3.591,1
793,1693,3,16.422,0.099,0
794,1694,3,18.445,1.647,1
795,1694,3,18.887,2.907,1
